Model_masked,Coupling & Drive,Cylinder & Overheating,Electrical & Instruments,Hour Meter & Accessories,KRMS & Sensors,Leaks (General),Loading & Unloading,Major Mechanical,Oil Consumption & Carryover,Oil Pump,Others,Shaft Seal,Sound & Vibration,Valves & Solenoids
KC102,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.0625
KC12,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.1875,0.0625
KC2,0.044385026737967924,0.0625668449197861,0.10802139037433157,0.044385026737967924,0.044385026737967924,0.044385026737967924,0.044385026737967924,0.044385026737967924,0.11604278074866312,0.11604278074866312,0.05347593582887702,0.09893048128342248,0.10695187165775404,0.0716577540106952
KC21,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.08333333333333334,0.08333333333333334,0.04166666666666667,0.08333333333333334,0.04166666666666667,0.12500000000000003,0.25000000000000006
KC3,0.026276923076923073,0.03587692307692307,0.08135384615384615,0.03267692307692307,0.026276923076923073,0.03267692307692307,0.04867692307692306,0.026276923076923073,0.0980307692307692,0.22098461538461533,0.06855384615384615,0.09095384615384615,0.1371076923076923,0.07427692307692306
KC31,0.04000000000000001,0.04000000000000001,0.08000000000000002,0.04000000000000001,0.04000000000000001,0.12000000000000001,0.04000000000000001,0.04000000000000001,0.04000000000000001,0.20000000000000004,0.08000000000000002,0.04000000000000001,0.12000000000000001,0.08000000000000002
KC4,0.016436251920122887,0.02073732718894009,0.07588325652841782,0.016436251920122887,0.016436251920122887,0.025038402457757295,0.01858678955453149,0.016436251920122887,0.15806451612903227,0.09953917050691244,0.022887864823348696,0.05007680491551459,0.31597542242703536,0.14746543778801843
KC42,0.020833333333333332,0.020833333333333332,0.08333333333333333,0.020833333333333332,0.020833333333333332,0.10416666666666667,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.22916666666666666,0.0625,0.08333333333333333,0.20833333333333334,0.08333333333333333
KC51,0.02702702702702703,0.08108108108108109,0.05405405405405406,0.02702702702702703,0.02702702702702703,0.05405405405405406,0.02702702702702703,0.02702702702702703,0.05405405405405406,0.21621621621621623,0.02702702702702703,0.10810810810810811,0.24324324324324326,0.02702702702702703
KC6,0.026649006622516555,0.03194701986754967,0.06108609271523179,0.026649006622516555,0.029298013245033113,0.03724503311258279,0.029298013245033113,0.029298013245033113,0.17578807947019867,0.0849271523178808,0.042543046357615896,0.042543046357615896,0.22331125827814569,0.15941721854304636
KC63,0.03125,0.0625,0.03125,0.03125,0.03125,0.0625,0.0625,0.03125,0.0625,0.21875,0.0625,0.125,0.125,0.0625
KC72,0.015625,0.015625,0.078125,0.015625,0.015625,0.046875,0.046875,0.140625,0.03125,0.3125,0.046875,0.0625,0.109375,0.0625
KC84,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.10714285714285714,0.14285714285714285,0.03571428571428571,0.14285714285714285,0.25
KC9,0.03448275862068965,0.0689655172413793,0.0689655172413793,0.03448275862068965,0.03448275862068965,0.0689655172413793,0.0689655172413793,0.03448275862068965,0.0689655172413793,0.1379310344827586,0.0689655172413793,0.0689655172413793,0.20689655172413787,0.03448275862068965
KC93,0.03333333333333333,0.1,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.13333333333333333,0.03333333333333333,0.23333333333333334,0.06666666666666667,0.03333333333333333,0.1,0.06666666666666667
KCX1,0.04645161290322581,0.05290322580645161,0.07225806451612904,0.05290322580645161,0.04645161290322581,0.04645161290322581,0.05290322580645161,0.04645161290322581,0.2154838709677419,0.06580645161290323,0.07225806451612904,0.09806451612903228,0.07225806451612904,0.05935483870967742
KCX102,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.058823529411764705
KCX12,0.05000000000000001,0.13000000000000003,0.04000000000000001,0.04000000000000001,0.04000000000000001,0.060000000000000005,0.04000000000000001,0.04000000000000001,0.17,0.12000000000000001,0.060000000000000005,0.060000000000000005,0.060000000000000005,0.09000000000000001
