Model_masked,Category,Part_Family,count,share
KC102,Oil Pump,Oil Pump / Element,1,1.0
KC102,Others,Not Specified,1,1.0
KC12,Sound & Vibration,Oil Pump / Element,1,0.5
KC12,Sound & Vibration,Piston / Liner / Ring Set,1,0.5
KC2,Cylinder & Overheating,Piston / Liner / Ring Set,2,1.0
KC2,Electrical & Instruments,Other Parts,1,0.14285714285714285
KC2,Electrical & Instruments,Pressure Gauge,5,0.7142857142857143
KC2,Electrical & Instruments,Pressure Switch / Cut-out,1,0.14285714285714285
KC2,Oil Consumption & Carryover,ORV (Oil Return Valve),1,0.25
KC2,Oil Consumption & Carryover,Other Parts,1,0.25
KC2,Oil Consumption & Carryover,Piston / Liner / Ring Set,2,0.5
KC2,Oil Pump,Oil Pump / Element,4,1.0
KC2,Others,Other Parts,1,1.0
KC2,Shaft Seal,Shaft Seal / O-ring,6,1.0
KC2,Sound & Vibration,Piston / Liner / Ring Set,2,0.6666666666666666
KC2,Sound & Vibration,Stop Valve,1,0.3333333333333333
KC2,Valves & Solenoids,Other Parts,3,1.0
KC21,Major Mechanical,Not Specified,1,1.0
KC21,Oil Consumption & Carryover,Piston / Liner / Ring Set,1,1.0
KC21,Others,Not Specified,1,1.0
KC21,Sound & Vibration,Buffer Spring,1,0.5
KC21,Sound & Vibration,Piston / Liner / Ring Set,1,0.5
KC21,Valves & Solenoids,Fasteners / Hardware,1,0.2
KC21,Valves & Solenoids,K5 Valve,2,0.4
KC21,Valves & Solenoids,Other Parts,2,0.4
KC3,Cylinder & Overheating,Buffer Spring,1,0.3333333333333333
KC3,Cylinder & Overheating,Delivery / Discharge Valve,1,0.3333333333333333
KC3,Cylinder & Overheating,Piston / Liner / Ring Set,1,0.3333333333333333
KC3,Electrical & Instruments,Not Specified,1,0.1
KC3,Electrical & Instruments,Pressure Gauge,5,0.5
KC3,Electrical & Instruments,Pressure Switch / Cut-out,3,0.3
KC3,Electrical & Instruments,Solenoid Valve / Coil,1,0.1
KC3,Hour Meter & Accessories,Hour Meter,2,1.0
KC3,Leaks (General),Other Parts,2,1.0
KC3,Loading & Unloading,Not Specified,2,0.2857142857142857
KC3,Loading & Unloading,Oil Pump / Element,1,0.14285714285714285
KC3,Loading & Unloading,Other Parts,2,0.2857142857142857
KC3,Loading & Unloading,Solenoid Valve / Coil,2,0.2857142857142857
KC3,Oil Consumption & Carryover,Not Specified,1,0.1111111111111111
KC3,Oil Consumption & Carryover,Piston / Liner / Ring Set,8,0.8888888888888888
KC3,Oil Pump,Not Specified,1,0.03125
KC3,Oil Pump,Oil Pump / Element,31,0.96875
KC3,Others,Not Specified,1,0.16666666666666666
KC3,Others,Oil Pump / Element,2,0.3333333333333333
KC3,Others,Other Parts,3,0.5
KC3,Shaft Seal,Not Specified,2,0.15384615384615385
KC3,Shaft Seal,Oil Pump / Element,1,0.07692307692307693
KC3,Shaft Seal,Other Parts,2,0.15384615384615385
KC3,Shaft Seal,Shaft Seal / O-ring,8,0.6153846153846154
KC3,Sound & Vibration,Delivery / Discharge Valve,2,0.15384615384615385
