Date,Model,Complaint_Type,Volume,Forecast_p10,Forecast_p90,Source
2015-04,AAA2,Major Mechanical,1,,,Actual
2015-04,AB2,Oil Pump,1,,,Actual
2015-04,AB3,Oil Pump,1,,,Actual
2015-04,AB6,Oil Pump,1,,,Actual
2015-04,AB6,Sound & Vibration,1,,,Actual
2015-04,AB72,Electrical & Instruments,1,,,Actual
2015-04,AAA3,Electrical & Instruments,1,,,Actual
2015-04,AB102,Others,1,,,Actual
2015-04,AB2,Cylinder & Overheating,1,,,Actual
2015-04,AB3,Valves & Solenoids,1,,,Actual
2015-04,AB31,Oil Pump,1,,,Actual
2015-04,AB6,Sound & Vibration,1,,,Actual
2015-04,AAA4,Cylinder & Overheating,1,,,Actual
2015-04,AAA4,Sound & Vibration,1,,,Actual
2015-04,AB3,Oil Pump,1,,,Actual
2015-04,AB4,Electrical & Instruments,1,,,Actual
2015-04,AB72,Oil Pump,1,,,Actual
2015-04,AB4,Oil Pump,1,,,Actual
2015-04,AAA3,Valves & Solenoids,1,,,Actual
2015-04,AB2,Sound & Vibration,1,,,Actual
2015-04,AF2,Valves & Solenoids,1,,,Actual
2015-04,AAA2,Sound & Vibration,1,,,Actual
2015-04,AF2,Shaft Seal,1,,,Actual
2015-04,AAA3,Leaks (General),1,,,Actual
2015-04,AAA3,Sound & Vibration,1,,,Actual
2015-04,AAA4,Cylinder & Overheating,1,,,Actual
2015-04,AB3,Sound & Vibration,1,,,Actual
2015-04,AB4,Leaks (General),1,,,Actual
2015-04,AF2,Oil Pump,1,,,Actual
2015-04,AAA3,Oil Pump,1,,,Actual
2015-04,AAA4,Cylinder & Overheating,1,,,Actual
2015-04,AAA6,Others,1,,,Actual
2015-04,AAA6,Sound & Vibration,1,,,Actual
2015-04,AB42,Leaks (General),1,,,Actual
2015-04,AB6,Sound & Vibration,1,,,Actual
2015-05,AB2,Others,1,,,Actual
2015-05,AB3,Shaft Seal,1,,,Actual
2015-05,AB4,Oil Pump,1,,,Actual
2015-05,AB51,Sound & Vibration,1,,,Actual
2015-05,AB3,Electrical & Instruments,1,,,Actual
2015-05,AB3,Oil Pump,1,,,Actual
